局部绝缘受损,故障
散热不良,绝缘老化
长期过载,绝缘老化
杂物落入,温度过高
制造工艺不良,绕组变形
绕组变形,绝缘损坏
绕组受潮,绝缘膨胀堵塞油道
绝缘膨胀堵塞油道,局部过热
绝缘油混入水分,绝缘水平下降
油面太低,绕组暴露
铁芯柱穿心螺杆绝缘损坏,铁芯故障  
铁轮夹紧螺杆绝缘损坏,铁芯故障
环流,局部发热
局部发热,铁芯局部熔毁
铁芯叠片局部短路,涡流过热
涡流过热,绝缘层损坏
绝缘层损坏,空载损失增大
绝缘层损坏,绝缘油劣化
变压器故障,吊芯检查
直流电阻差别较大,绕组故障
轻瓦斯保护动作,发出信号
变压器内部轻微故障,原因是变压器内部有空气
变压器内部存在空气,二次回路故障
瓦斯保护动作跳闸,变压器内部严重故障
变压器内部严重故障,油分解出大量气体
瓦斯保护动作跳闸,二次回路故障
瓦斯保护动作跳闸,投入备用变压器
外部故障,可不经内部检查送电
人员误动作,可不经内部检查送电
密封不良,绝缘受潮劣化
呼吸器配置不当,吸入水分
吸入水分未处理,设备损坏
螺丝松动,分接开关故障
荷调整装置不良,分接开关故障
调整不当,分接开关故障
绝缘板绝缘不良,分接开关故障
接触不良,分接开关故障
制造工艺不好,分接开关故障
弹簧压力不足,分接开关故障
酸价过高,接触面腐蚀
接触面腐蚀,分接开关故障
绝缘套管闪络或破碎,接地短路
引出线之间相间故障,变压器内部故障
引出线之间相间故障,绕组变形
