变压器容量等级和重要程度不同,装设必要继电保护装置
电气故障,变压器损伤
高压或低压绕组相间短路,故障  
中性点直接接地侧单相接地短路,故障  
高压或低压绕组匝间短路,故障  
第三绕组接地故障或匝间短路,故障
内部短路故障产生电弧,损坏绕组绝缘
内部短路故障产生电弧,烧毁铁芯
绝缘材料受热分解,产生大量气体
变压器油受热分解,产生大量气体
气体大量产生,可能引起变压器油箱爆炸
短路故障,系统电压降低
系统电压降低,旋转电机失去同步
失步电机,过渡电流产生
过渡电流,继电器误跳闸
变压器内部电气故障,迅速切除变压器
缓慢发展的损害作用,变压器受损
电气连接接触不良或铁芯故障,变压器油中产生间歇性电弧
冷却媒介不足,变压器油温升高
油位过低或油路阻塞,绕组上产生局部热点
分接开关故障,并联运行变压器产生环流
分接开关故障,负荷分配不合理
环流和负荷分配不合理,变压器绕组过热
故障发展,产生各种故障
故障发展,扩大事故范围
油箱外部绝缘套管及引出线故障,引出线相间短路
油箱外部绝缘套管及引出线故障,单相接地短路
外部短路,过电流
过负荷,过电流
外部接地短路,过电流
外部接地短路,中性点过电压
冷却系统故障,不正常工作状态
温度升高,不正常工作状态
短路故障,断路器跳闸
防止保护装置拒动,设置主保护和后备保护
防止断路器拒动,设置主保护和后备保护
异常运行,发信号
变压器故障,检修难度大
变压器故障,检修时间长
变压器故障,经济损失大
变压器故障切除,电力系统扰动
缩小故障影响范围,防止保护装置误动作
缩小故障影响范围,防止保护装置拒动作
变压器油箱内部故障,瓦斯保护启动
油面降低,瓦斯保护启动
油箱内部故障产生轻微瓦斯,保护装置动作于信号
油面降低,保护装置动作于信号
产生大量瓦斯,保护装置动作于跳闸
保护装置动作于跳闸,断开变压器各侧断路器
未装设断路器,瓦斯保护仅动作于信号
未采取技术措施,瓦斯保护仅动作于信号
后备保护动作时限大于0.5s,应装设电流速断保护
变压器故障,保护装置切除故障
变压器故障差动保护拒动,后备保护切除
保证快速切除故障,装设双重差动保护
高压侧电压330KV及以上,装设双重差动保护
发电机与变压器间无断路器且机组容量达100000KW及以上,需增设发电机单独差动保护
发电机与变压器间无断路器且机组容量达200000KW及以上,需在变压器上增设单独差动保护
纵联差动保护灵敏度不足,增设零序差动保护
系统联络变压器过电流保护不符合灵敏度要求,采用复合电压起动的过电流保护
降压变压器过电流保护不符合灵敏度要求,采用复合电压起动的过电流保护
保护装置动作,跳闸
中性点直接接地,装设零序电流保护
单相接地短路失去中性点,零序过电压保护动作
零序过电压保护动作,断开变压器各侧断路器
单相接地短路失去中性点,零序电流电压保护动作
零序电流电压保护动作,断开变压器各侧断路器
零序电流保护,断开母线联络变压器
零序电流保护,切除中性点接地的变压器
切除中性点不接地变压器,后切除中性点接地变压器
